Name	Type	Location	Price
National Museum of Singapore	Cultural & Heritage	93 Stamford Rd	$10.00 
Tanjong Pagar RICOH Park	Outdoor & Nature	Above the Tanjong Pagar MRT station	$0.00 
ACE THE PLACE CC DANCEFIT CLUB 2025	Social & Community Events	Ace The Place CC	From $24.00 to $48.00
Admiralty AAC & ACE The Place CC SCEC - Admiralty Wellness Fiesta 2025	Social & Community Events	Ace The Place CC	$2.00 
"Admiralty AAC Karaoke Friday (Every Friday, 2pm - 5pm)"	Social & Community Events	Ace The Place CC	$3.00 
Admiralty AAC/SCEC Brisk Walk and Local Tour	Social & Community Events	Ace The Place CC	$5.00 
Admiralty CSN Netball 2025	Social & Community Events	Ace The Place CC	$50.00 
Admiralty CSN PACF 2025	Social & Community Events	Ace The Place CC	$50.00 
Admiralty-Vista Singing Competition 2025	Social & Community Events	Ace The Place CC	$20.00 
Dumpling Festival 2025	Social & Community Events	Ace The Place CC	$10.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Ace The Place CC	From $80.00 to $90.00
Indian Classical Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Ace The Place CC	From $200.00 to $210.00
Indian Classical Dance (Children) - Elementary	Workshops & Classes	Ace The Place CC	From $200.00 to $210.00
K-Pop MV Dance! (HealthierSG)	Workshops & Classes	Ace The Place CC	From $45.00 to $50.00
Learn AI tools for schoolwork	Social & Community Events	Ace The Place CC	$0.00 
Pasir Ris Beach Clean Up!	Social & Community Events	Ace The Place CC	$0.00 
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Ace The Place CC	From $95.00 to $105.00
Dhoby Ghaut Green	Outdoor & Nature	"Adjacent to Dhoby Ghaut MRT Station, opposite the Park Mall Shopping Centre"	$0.00 
Woodlands Waterfront Park	Outdoor & Nature	Admiralty Road West	$0.00 
Admiralty Zone 10 RN Wild Life Asia	Social & Community Events	Admiralty Zone 10 RN	$10.00 
Admiralty Zone 3 RN Tea Party with Neighbours (Blk 551 & 552)	Social & Community Events	Admiralty Zone 3 RN	$0.00 
Admiralty Zone 4 RN Garden By The Bay 2024 (April 2025)	Social & Community Events	Admiralty Zone 4 RN	From $6.00 to $10.00
Admiralty Zone 4 RN Terrarium Workshop 2025	Workshops & Classes	Admiralty Zone 4 RN	$10.00 
Admiralty Zone 5 RN - Buka Puasa with Z5	Social & Community Events	Admiralty Zone 5 RN	$1.00 
Admiralty Zone 5 RN - Movie Night with Old Chang Kee Truck	Social & Community Events	Admiralty Zone 5 RN	$2.00 
Admiralty Zone 5 RN Breakfast with Seniors	Social & Community Events	Admiralty Zone 5 RN	$0.00 
Admiralty Zone 5 RN Tea Party with Neighbours (Blk 684A & 684B)	Social & Community Events	Admiralty Zone 5 RN	$0.00 
Admiralty Zone 6 RN: Hari Raya Bus Tour 2025	Social & Community Events	Admiralty Zone 6 RN	$2.00 
Admiralty Zone 7 RN: Breakfast with Seniors (23 March 2025)	Social & Community Events	Admiralty Zone 7 RN	$0.00 
Admiralty Zone 7 RN: Breakfast with Seniors (6 April 2025)	Social & Community Events	Admiralty Zone 7 RN	$0.00 
Admiralty Zone 7 RN: Educational Tour	Social & Community Events	Admiralty Zone 7 RN	From $2.00 to $4.00
Admiralty Zone 7 RN: Family Colour Art Fest	Social & Community Events	Admiralty Zone 7 RN	$5.00 
"Admiralty Zone 7 RN: Karaoke Saturdays (Every Saturday, 5.30pm - 9.30pm)"	Social & Community Events	Admiralty Zone 7 RN	$3.00 
Admiralty Zone 7 RN: Tea Party with Neighbours (Blk 628A & 628B)	Social & Community Events	Admiralty Zone 7 RN	$0.00 
Admiralty Zone 7: Qigong Interest Group	Social & Community Events	Admiralty Zone 7 RN	$0.00 
Kiddies Expression - Creative Fun Art (Age 5-12)	Workshops & Classes	Admiralty Zone 9 RN	From $120.00 to $130.00
Silat (HealthierSG)	Fitness & Wellness	Admiralty Zone 9 RN	$16.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Admiralty Zone 9 RN	From $105.00 to $120.00
AHG Taijiquan March 17	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Taijiquan March 24	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Walking Football March 16	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Walking Football March 23	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Walking Football March 30	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Zumba Gold March 16	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Zumba Gold March 23	Social & Community Events	Ah Hood Gardens RN	$0.00 
AHG Zumba Gold March 30	Social & Community Events	Ah Hood Gardens RN	$0.00 
Erhu (Adult) - Elementary	Workshops & Classes	Aljunied CC	From $140.00 to $150.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Aljunied CC	From $55.00 to $65.00
Paya Lebar Buka Puasa 2025	Social & Community Events	Aljunied CC	$0.00 
Paya Lebar CACC Crochet Workshop	Workshops & Classes	Aljunied CC	$5.00 
Paya Lebar CACC Crochet Workshop (April - June 2025)	Workshops & Classes	Aljunied CC	$5.00 
Piano Grade 1	Workshops & Classes	Aljunied CC	From $170.00 to $180.00
Piano Grade 7	Workshops & Classes	Aljunied CC	From $450.00 to $460.00
Recreational Folk Dance (Intermediate) (HealthierSG)	Workshops & Classes	Aljunied CC	From $35.00 to $40.00
Potong Pasir Explores! Disney Garden of Wonder @ Floral Fantasy	Social & Community Events	Alkaff View @ Bidadari RN	From $2.00 to $9.00
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Alkaff View @ Bidadari RN	From $75.00 to $85.00
Wushu SanDa - (Zhou Jia style) (HealthierSG)	Fitness & Wellness	Alkaff View @ Bidadari RN	From $120.00 to $130.00
Bishan - Ang Mo Kio Park	Outdoor & Nature	Along Ang Mo Kio Ave 1	$0.00 
Bedok Reservoir Park	Outdoor & Nature	Along Bedok Reservoir Road	$0.00 
Esplanade Park	Outdoor & Nature	"Along Connaught Drive, opposite Padang and City Hall"	$0.00 
East Coast Park	Outdoor & Nature	Along East Coast Parkway and East Coast Park Service Road	$0.00 
Kranji Resevoir Park	Outdoor & Nature	Along Kranji Way	$0.00 
MacRitchie Reservoir Park	Outdoor & Nature	Along Lornie Road	$0.00 
Changi Beach Park	Outdoor & Nature	Along Nicoll Drive and Changi Coast Road	$0.00 
Pasir Ris Town Park	Outdoor & Nature	"Along Pasir Ris Central, Opposite Pasir Ris MRT Station"	$0.00 
Punggol Waterway Park	Outdoor & Nature	Along Sentul Crescent Road	$0.00 
Anchorvale CC IAEC Tamil Language Festival 2025	Social & Community Events	Anchorvale CC	$2.00 
Awaken the Warrior Within: Moana-Inspired Tahiti Dance and a Survivor's Journey for Breast Cancer Awareness	Social & Community Events	Anchorvale CC	$8.00 
Funday with Us @ ECP - Anchorvale CC WEC	Social & Community Events	Anchorvale CC	$12.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Anchorvale CC	From $80.00 to $90.00
Indian Classical Dance (Children) - Elementary	Workshops & Classes	Anchorvale CC	From $120.00 to $130.00
Line Dance (Adult) - Intermediate (HealthierSG)	Workshops & Classes	Anchorvale CC	From $60.00 to $70.00
Sengkang West Family Fiesta	Social & Community Events	Anchorvale CC	$5.00 
Sengkang West Sports Fiesta	Social & Community Events	Anchorvale CC	$5.00 
Silat (SHIOK Series)	Fitness & Wellness	Anchorvale CC	$3.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Anchorvale CC	From $60.00 to $70.00
Wushu (HealthierSG)	Fitness & Wellness	Anchorvale CC	From $85.00 to $90.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Anchorvale CC	From $50.00 to $55.00
Sengkang Riverside Park	Outdoor & Nature	Anchorvale Street abutting Sungei Punggol	$0.00 
Fitness First - AMK Hub	Fitness & Wellness	"Ang Mo Kio Ave 3, Postal Code: 569933"	$150.00 
Yio Chu Kang ClubFITT Gym	Fitness & Wellness	"Ang Mo Kio Ave 9, Postal Code: 569770"	$2.50 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Acacia RN	$70.00 
Angsana Brisk Walk @ Mandai Boardwalk	Social & Community Events	Ang Mo Kio-Hougang Angsana RN	$3.00 
Angsana Brisk walk @ Marina Bay Waterfront Promenade	Social & Community Events	Ang Mo Kio-Hougang Angsana RN	$3.00 
TLM Food Expo - Singapore	Social & Community Events	Ang Mo Kio-Hougang Angsana RN	$0.00 
Digital Club @ Hibiscus RN Mar 2025	Social & Community Events	Ang Mo Kio-Hougang Hibiscus RN	$0.00 
Hibiscus Residents Singing Session 1 - 2025	Social & Community Events	Ang Mo Kio-Hougang Hibiscus RN	$6.00 
Ang Mo Kio-Hougang Ixora Movie Night 2025 - Kung Fu Panda 4	Social & Community Events	Ang Mo Kio-Hougang Ixora RN	$2.00 
Pencil Drawing & Watercolour Painting	Workshops & Classes	Ang Mo Kio-Hougang Ixora RN	$105.00 
Lavender Karaoke Time March 2025	Social & Community Events	Ang Mo Kio-Hougang Lavender RN	$90.00 
Gentle Flow Yoga (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Maple RN	$100.00 
Yin Yang Yoga (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Maple RN	$100.00 
Yoga Stretch (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Maple RN	$108.00 
Line Dance (Adult) - Advanced (HealthierSG)	Workshops & Classes	Ang Mo Kio-Hougang Orchid RN	$55.00 
Orchid RN Line Dance Jam April 2025	Social & Community Events	Ang Mo Kio-Hougang Orchid RN	$4.00 
Body Sculpt (HealthierSG) (Ang Mo Kio-Hougang)	Fitness & Wellness	Ang Mo Kio-Hougang Palmview RN	$118.00 
Kickboxing (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Palmview RN	$118.00 
Pilates MatWork (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Palmview RN	$118.00 
Step Aerobics (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Palmview RN	$118.00 
Stretch Fit & Massage (HealthierSG)	Fitness & Wellness	Ang Mo Kio-Hougang Palmview RN	$118.00 
Ang Mo Kio-Hougang Peony RN-Morning Breakfast (5/4/2025)	Social & Community Events	Ang Mo Kio-Hougang Peony RN	$3.00 
Ang Mo Kio-Hougang Peony RN-Temple & Shopping Tour (12/5/2025)	Social & Community Events	Ang Mo Kio-Hougang Peony RN	$3.00 
Ukulele - Beginner	Workshops & Classes	Ang Mo Kio-Hougang Peony RN	$100.00 
$0.00 Hair Cut for Senior Citizens	Social & Community Events	Ang Mo Kio-Hougang Pinetree RN	$0.00 
High Tea for Senior Citizens	Social & Community Events	Ang Mo Kio-Hougang Pinetree RN	$1.00 
