Name	Type	Location	Price
Women's Day Social Night Dance	Social & Community Events	Kim Seng CC	$10.00 
King George's Ave RC - Low Impact Aerobics - 11 April 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 16 May 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 18 April 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 2 May 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 21 March 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 23 May 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 25 April 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 28 March 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 30 May 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 4 April 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics - 9 May 2025	Social & Community Events	King George's Avenue RN	$0.00 
King George's Ave RC - Low Impact Aerobics @ KGA - 14 March 2025	Social & Community Events	King George's Avenue RN	$0.00 
Union Yoga Ayurveda (Kembangan Branch)	Fitness & Wellness	"Kingston Terrace, Postal Code: 418935"	$30.00 to $200.00
(Kolam Ayer C2E) Half-Day CPR & AED Certification Course	Workshops & Classes	Kolam Ayer CC	$0.00 
(KY WEC) Line Dance Jam - April 2025	Social & Community Events	Kolam Ayer CC	$5.00 
23 March 2025 - Kolam Ayer SG60 Celebration	Social & Community Events	Kolam Ayer CC	$0.60 
Chinese Calligraphy	Workshops & Classes	Kolam Ayer CC	From $95.00 to $105.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Kolam Ayer CC	From $80.00 to $90.00
Hoop Fitness - Beginners (HealthierSG)	Fitness & Wellness	Kolam Ayer CC	From $95.00 to $105.00
Hoop Fitness - Intermediate (HealthierSG)	Fitness & Wellness	Kolam Ayer CC	From $100.00 to $110.00
Jalan Besar GRC Bowling 4-A Side Mixed Team Competition	Social & Community Events	Kolam Ayer CC	$50.00 
KY CSN - Dragon Boat Orientation Programme	Social & Community Events	Kolam Ayer CC	$3.00 
Super Sunday Deal @ Kolam Ayer [Geylang Bahru]	Social & Community Events	Kolam Ayer CC	$1.00 
Super Sunday Deal @ Kolam Ayer [St.George's]	Social & Community Events	Kolam Ayer CC	$1.00 
Taijiquan (HealthierSG)	Fitness & Wellness	Kolam Ayer CC	From $60.00 to $70.00
GBRN Briskwalk at Bidadari Park	Social & Community Events	Kolam Ayer Geylang Bahru RN	$2.00 
KYRN Wellness Day	Social & Community Events	Kolam Ayer RN	$0.00 
St George's Family Fun Day - Trip to Hay Dairies Goat Farm	Social & Community Events	Kolam Ayer St George's East RN	$6.00 
(WSRN) Block Party	Social & Community Events	Kolam Ayer Whampoa South RN	$0.60 
(WSRN) Brisk Walk Club T-Shirt	Social & Community Events	Kolam Ayer Whampoa South RN	$10.00 
Flower Arrangement 2025.05.03	Social & Community Events	Kreta Ayer CC	$15.00 
KAWEC Mammogram Screening 2025.04.26	Social & Community Events	Kreta Ayer CC	$0.00 
KpopX® Fitness (HealthierSG)	Fitness & Wellness	Kreta Ayer CC	From $118.00 to $133.00
20250329 KARN SG60 Neighbourhood Party	Social & Community Events	Kreta Ayer RN	$0.00 
Kreta Ayer Stretch Band Exercise 2025.03.16	Social & Community Events	Kreta Ayer RN	$0.00 
Kreta Ayer Stretch Band Exercise 2025.03.23	Social & Community Events	Kreta Ayer RN	$0.00 
Kreta Ayer Stretch Band Exercise 2025.03.30	Social & Community Events	Kreta Ayer RN	$0.00 
2025.04.26 Water Carnival and BBQ Party at One Shenton	Social & Community Events	Kreta Ayer-Kim Seng RN	From $8.00 to $12.00
La Fiesta RN: Mammobus Screening (March 2025)	Social & Community Events	La Fiesta RN	$0.00 
TJ Calligraphy Workshop	Workshops & Classes	Lakeside Grove NC	$5.00 
Aikido (HealthierSG) (Leng Kee)	Fitness & Wellness	Leng Kee CC	From $80.00 to $90.00
Ballet (Adult) - Intermediate (HealthierSG) (Leng Kee)	Workshops & Classes	Leng Kee CC	From $235.00 to $245.00
Ballroom Modern (Adult) - Intermediate (HealthierSG) (Leng Kee)	Workshops & Classes	Leng Kee CC	From $120.00 to $130.00
Chinese Dance (Children)	Workshops & Classes	Leng Kee CC	From $80.00 to $90.00
Chinese Square Dancing (HealthierSG)	Workshops & Classes	Leng Kee CC	From $150.00 to $160.00
Hatha Yoga (Advanced) (HealthierSG)	Fitness & Wellness	Leng Kee CC	From $90.00 to $100.00
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Leng Kee CC	From $90.00 to $100.00
Hoop Fitness - Intermediate (HealthierSG)	Fitness & Wellness	Leng Kee CC	From $100.00 to $110.00
HOOP FITNESS (HealthierSG)	Fitness & Wellness	Leng Kee CC	From $95.00 to $105.00
Leng Kee CC IAEC Tamil New Year - 13 April 2025	Social & Community Events	Leng Kee CC	$5.00 
Line Dance (Adult) - Advanced (HealthierSG)	Workshops & Classes	Leng Kee CC	From $80.00 to $85.00
MARTIAL FIT (KIDS FITNESS)	Fitness & Wellness	Leng Kee CC	From $150.00 to $153.00
Tiny Tots Ballet	Workshops & Classes	Leng Kee CC	From $107.00 to $117.00
LTRN Mahjong Session Oct-Dec 25	Social & Community Events	Lengkong Tiga RC	$1.00 
Lentor ACP & LPA Workshop	Workshops & Classes	Lentor RN	$0.00 
Taichi for Health Programme	Social & Community Events	Lentor RN	$0.00 
Lim Tai See RN Mandai Boardwalk Trail - 29 March 2025	Social & Community Events	Lim Tai See RN	$0.00 
[Limbang - CCC] CMWN Rummy O 4 2025	Social & Community Events	Limbang CC	$0.00 
[Limbang - CSN] Badminton Jan - Mar 2025 (HealthierSG)	Social & Community Events	Limbang CC	$7.00 
[Limbang - CSN] Dance-Fit Club (Mar 2025 - Feb 2026) (HealthierSG)	Social & Community Events	Limbang CC	$24.00 
[Limbang - CSN] North West FitnessX Club - Limbang CSN (Apr - Jun 2025)	Social & Community Events	Limbang CC	$30.00 
[Limbang - CSN] North West FitnessX Club - Limbang CSN (Jan - Mar 2025)	Social & Community Events	Limbang CC	$30.00 
[Limbang - CSN] Pickleball Apr - Jun 2025 [MONDAY] (HealthierSG)	Social & Community Events	Limbang CC	$15.00 
[Limbang - CSN] Pickleball Apr - Jun 2025 [SATURDAY] (HealthierSG)	Social & Community Events	Limbang CC	$15.00 
[Limbang - CSN] Pickleball Apr - Jun 2025 [WEDNESDAY] (HealthierSG)	Social & Community Events	Limbang CC	$15.00 
[Limbang - CSN] Table Tennis Apr - Jun 2025 [THURSDAY] (HealthierSG)	Social & Community Events	Limbang CC	$3.00 
[Limbang - CSN] Table Tennis Jan - Mar 2025 (HealthierSG)	Social & Community Events	Limbang CC	$3.00 
[Limbang - CSN] Walk with us 2025 MARCH	Social & Community Events	Limbang CC	$2.00 
[Limbang - YN & WEC] Limbang Mingle	Social & Community Events	Limbang CC	$3.00 
[Limbang - YN] Limbang Unplugged	Social & Community Events	Limbang CC	$1.00 
[Limbang CC IAEC] Tamil New Year 2025	Social & Community Events	Limbang CC	$5.00 
[Limbang CC WEC] Flea Market 23 March 2025	Social & Community Events	Limbang CC	$5.00 
[Limbang CCC] Mental Wellness - Be A Samaritan Workshop	Workshops & Classes	Limbang CC	$0.00 
[Limbang CCC] Mental Wellness (Collaboration with FEI YUE) - TRIPLE P Parenting Workshop - Primary Level	Workshops & Classes	Limbang CC	$0.00 
[Limbang CCC] Mental wellness @NorthWest X Calm Collective - Coping With Change	Social & Community Events	Limbang CC	$0.00 
[Limbang-C2E] Visit to Woodlands Fire Station and Sembawang Hot Spring - 15 March 2025	Social & Community Events	Limbang CC	$0.00 
[LIMBANG-CSN] Limbang CSN Bowling Championship 2025	Social & Community Events	Limbang CC	$20.00 
[Limbang-CSN] Marsiling-Yew Tee GRC Community Championship (Badminton)	Social & Community Events	Limbang CC	$30.00 
[Limbang-CSN] Marsiling-Yew Tee GRC Community Championship (Table Tennis)	Social & Community Events	Limbang CC	$30.00 
[MYT GRC- Limbang & Yew Tee] MY Family Carnival 2025	Social & Community Events	Limbang CC	$0.00 
3D Clay Painting	Workshops & Classes	Limbang CC	From $32.00 to $40.00
Creative Finger Puppet Making	Workshops & Classes	Limbang CC	From $12.00 to $15.00
[Limbang - LBG] Dance Fit Club 2025	Social & Community Events	Limbang Green RN	$24.00 
[Limbang - LBG] Limbang Green Cooking Demo 15 Mar 2025	Social & Community Events	Limbang Green RN	$3.00 
[Limbang - LBP & CSN] Brisk Walk @ Mandai Broadwalk (HeathierSG)	Social & Community Events	Limbang Park RN	$2.00 
[Limbang - LBP] Weekly Karaoke Session (15 March 2025)	Social & Community Events	Limbang Park RN	$3.00 
[Limbang - LBP] Weekly Karaoke Session (22 March 2025)	Social & Community Events	Limbang Park RN	$3.00 
[Limbang - LBP] Weekly Karaoke Session (29 March 2025)	Social & Community Events	Limbang Park RN	$3.00 
Vinyasa Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Limbang Park RN	$95.00 
Limbang [LBV & IAEC] Limbang View Karaoke Session 14 March 2025	Social & Community Events	Limbang View RN	$4.00 
Livia Responder Plus Programme	Social & Community Events	Livia NC	$0.00 
Livia Water Carnival By The Pool 2025	Social & Community Events	Livia NC	$3.00 
Lucky Marigold Coastal Cleanup Campaign @East Coast Park Area F	Social & Community Events	Lucky Marigold RN	$0.00 
Aerobics (HealthierSG) (Macpherson)	Workshops & Classes	Macpherson CC	From $55.00 to $60.00
Ballroom Modern (Adult) - Intermediate (HealthierSG) (Macpherson)	Workshops & Classes	Macpherson CC	From $80.00 to $90.00
Co-Lab @ MacPherson [Q2 - 1 April to 30 June 2025]	Social & Community Events	Macpherson CC	$150.00 
Hatha Yoga (Advanced) (HealthierSG)	Fitness & Wellness	Macpherson CC	From $90.00 to $100.00
KpopX® Fitness (HealthierSG)	Fitness & Wellness	Macpherson CC	From $100.00 to $110.00
MacPherson CC WEC Celebrates International Women's Day 2025	Social & Community Events	Macpherson CC	$0.00 
Tai Hua Factory Tour	Social & Community Events	Macpherson CC	$3.00 
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Macpherson CC	From $50.00 to $60.00
Fire-Fighting Awareness	Social & Community Events	Macpherson Garden RN	$0.00 
Potong Pasir Explores! Hay Dairies Goat Farm	Social & Community Events	Macpherson Garden RN	From $3.00 to $9.00
Children's Art (Macpherson)	Workshops & Classes	Macpherson Zone F RN	$85.00 
Union Yoga Ayurveda (Beauty World Branch)	Fitness & Wellness	"Mandarin Park Shop Houses, Postal Code: 599625"	$30.00 to $200.00
Fitness First - Marina Bay Financial Centre	Fitness & Wellness	"Marina Bay Financial Centre, Postal Code: 189203"	$150.00 
[MCG RN] Outing to Jewel Changi Canopy Park	Social & Community Events	Marine Crescent Gardens RN	$10.00 
Taekwondo (Singapore Taekwondo Federation) (HealthierSG)	Fitness & Wellness	Marine Drive Garden RN	From $66.00 to $77.00
Children's Art (Marine Drive)	Workshops & Classes	Marine Drive View RN	From $80.00 to $90.00
Piano Grade 1	Workshops & Classes	Marine Drive View RN	From $285.00 to $295.00
Piano Grade 2	Workshops & Classes	Marine Drive View RN	From $330.00 to $340.00
Recreational Karaoke Folk Singing (Mandarin)	Workshops & Classes	Marine Drive View RN	From $80.00 to $90.00
Scribble A Scrabble	Social & Community Events	Marine Parade CC	$4.00 
[MTB RN] Introduction to Photography Workshop	Workshops & Classes	Marine Terrace Breeze RN	$10.00 
MTW RN Art & Craft Workshop	Workshops & Classes	Marine Terrace Walk RN	$5.00 
[MYT GRC - Marsiling] MY Family Carnival 2025	Social & Community Events	Marsiling CC	$0.00 
Competition Registration: Piala Hayunan Irama Kompang PERDANA 2025	Social & Community Events	Marsiling CC	$150.00 
Competitive Dance Ensemble	Workshops & Classes	Marsiling CC	From $360.00 to $370.00
CSTD Jazz: Grade 8 (HealthierSG)	Workshops & Classes	Marsiling CC	From $714.00 to $724.00
$0.00 Tech Classes 2025	Workshops & Classes	Marsiling CC	$0.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Marsiling CC	From $65.00 to $70.00
Piano Grade 3	Workshops & Classes	Marsiling CC	From $360.00 to $370.00
Tots Ballet	Workshops & Classes	Marsiling CC	From $110.00 to $120.00
BBQ Pits Booking - Marsiling Zone 2 RN	Social & Community Events	Marsiling Zone 2 RN	$11.00 
Flea Market (15/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Flea Market (16/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Flea Market (22/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Flea Market (23/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Flea Market (29/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Flea Market (30/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$10.00 
Karaoke Session (10/3/2025 to 16/3/2025 2-10pm) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$50.00 
Karaoke Session (March 2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$200.00 
Malay Heritage Tour (15/3/2025) Marsiling Zone 4 RN	Social & Community Events	Marsiling Zone 4 RN	$2.00 
BBQ Pits Booking March 2025 - Marsiling Zone 5 RN	Social & Community Events	Marsiling Zone 5 RN	$11.00 
Calm Collective: Facilitator Training Session	Social & Community Events	Marymount CC	$0.00 
Crochet Art	Workshops & Classes	Marymount CC	From $50.00 to $58.00
Hari Raya Celebrations 2025	Social & Community Events	Marymount CC	$5.00 
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Marymount CC	From $100.00 to $120.00
Marymount CSN Happy Feet Walk at Mandai Boardwalk - 26/04/2025	Social & Community Events	Marymount CC	$3.00 
Marymount WEC Outing to Rainforest Wild Asia	Social & Community Events	Marymount CC	$12.00 
Marymount x Calm Collective - Calm Circles (Theme: Relationship)	Social & Community Events	Marymount CC	$0.00 
Marymount YN Homework Clinic (2 August 2024 - 14 March 2025)	Social & Community Events	Marymount CC	$0.00 
Marymount YN Journaling Workshop	Workshops & Classes	Marymount CC	From $7.00 to $10.00
MMCC WEC Culinary IG - Pan Fried Carrot Cake	Social & Community Events	Marymount CC	$0.00 
Piloxing ® (HealthierSG)	Fitness & Wellness	Marymount CC	From $110.00 to $120.00
SkillsFuture@PA Floral Hand Bouquet (I)	Workshops & Classes	Marymount CC	From $170.00 to $180.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1	Fitness & Wellness	Marymount CC	From $220.00 to $230.00
SkillsFuture@PA Western Flower Arrangement	Workshops & Classes	Marymount CC	From $100.00 to $110.00
Tots Ballet	Workshops & Classes	Marymount CC	From $110.00 to $120.00
Yin Yoga (HealthierSG)	Fitness & Wellness	Marymount CC	From $90.00 to $100.00
Jadescape Water Carnival	Social & Community Events	Marymount Jadescape RN	$6.00 
Lowrey Piano (Beginner)	Workshops & Classes	Matilda RN	$275.70 
Lowrey Piano (Grade 1)	Workshops & Classes	Matilda RN	$387.90 
Lowrey Piano (Grade 2)	Workshops & Classes	Matilda RN	$419.60 
Mei Ling Zone RN Karaoke Booking - March 2025	Social & Community Events	Mei Ling RN	From $12.00 to $120.00
Mei Ling Zone RN Karaoke Booking - March 2025 (Sunday Evening)	Social & Community Events	Mei Ling RN	$120.00 
MCRC - A walk with Membina Court to Mandai Broadwalk	Social & Community Events	Membina Court RC	$4.00 
Mi Casa Big Sisters' Island Exploration	Social & Community Events	Mi Casa RN	$10.00 
Fitness First - Millenia Walk	Fitness & Wellness	"Millenia Walk, Postal Code: 188091"	$150.00 
FPRC APR 2025 - KPOP LITE - 7 APR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC APR 2025 - ZUMBA GOLD - 2 APR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC MAR 2025 - CASH FOR TRASH - 29 MAR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC MAR 2025 - KPOP LITE - 17 MAR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC MAR 2025 - KPOP LITE - 24 MAR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC MAR 2025 - ZUMBA GOLD - 19 MAR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
FPRC MAR 2025 - ZUMBA GOLD - 26 MAR 2025	Social & Community Events	Moulmein Farrer Park RC	$0.00 
Community Volunteers Needed - Join Mountbatten Constituency	Social & Community Events	Mountbatten CC	$0.00 
Mountbatten CC IAEC Spring Fair 2025	Social & Community Events	Mountbatten CC	From $20.00 to $200.00
Wushu (HealthierSG)	Fitness & Wellness	Mountbatten CC	$45.00 
CPR AND AED TRAINING - 22 FEB 2024	Social & Community Events	Nanyang CC	$0.00 
Hand Bouquet	Workshops & Classes	Nanyang CC	From $39.00 to $45.00
Karate (HealthierSG)	Fitness & Wellness	Nanyang CC	From $70.00 to $80.00
Lasting Power of Attorney (LPA) - Execution Session	Social & Community Events	Nanyang CC	From $0.00 to $20.00
Learn more about Lasting Power of Attorney (LPA)	Social & Community Events	Nanyang CC	$0.00 
Nanyang C2E - Fire Extinguisher and CPR & AED Demo Registration	Social & Community Events	Nanyang CC	$0.00 
Nanyang CSN Walk-A-Jog 2025 (March)	Social & Community Events	Nanyang CC	$0.00 
Nanyang CSN Yoga Get Together 2025 (March)	Social & Community Events	Nanyang CC	$0.00 
Nanyang Health Carnival 2025	Social & Community Events	Nanyang CC	$3.00 
Nanyang WEC Mother's Day Dinner 2025	Social & Community Events	Nanyang CC	From $40.00 to $400.00
SG60 Nanyang Concert	Social & Community Events	Nanyang CC	From $3.00 to $10.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1	Fitness & Wellness	Nanyang CC	From $220.00 to $230.00
Western Flower Arrangement	Workshops & Classes	Nanyang CC	From $39.00 to $45.00
Nanyang Zone 1 RN Digital for life : Scam 18 Mar 2025	Social & Community Events	Nanyang Zone 1 RN	$0.00 
Nanyang Zone 1 RN Wellness Talk 29 Mar 2025	Social & Community Events	Nanyang Zone 1 RN	$0.00 
Nanyang Zone 2 RN Movie Night 25	Social & Community Events	Nanyang Zone 2 RN	$3.00 
Crochet & Knitting (Stage I)	Workshops & Classes	Nanyang Zone 3 RN	$140.00 
AAC Digital IG - Explore Information Online 15 Mar 2025 (Nee Soon Cares 2024)	Social & Community Events	Nee Soon Central CC	$0.00 
Children's Art (Nee Soon Central)	Workshops & Classes	Nee Soon Central CC	From $65.00 to $75.00
Dressmaking (Elementary)	Workshops & Classes	Nee Soon Central CC	From $70.00 to $82.00
"Faishal Cup Basket Ball Tournament 2025, SG60 - 5x5 Category"	Social & Community Events	Nee Soon Central CC	$250.00 
"Faishal Cup Basketball Tournament 2025, SG60 - 3x3 Category"	Social & Community Events	Nee Soon Central CC	$100.00 
FIGHT-DO® (HealthierSG)	Fitness & Wellness	Nee Soon Central CC	From $100.00 to $110.00
Hand Bouquet Design	Workshops & Classes	Nee Soon Central CC	From $140.00 to $150.00
Nee Soon Central WEC Dance Fit Club 2024 (April 2024 - March 2025)	Social & Community Events	Nee Soon Central CC	$24.00 
Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon Central CC]	Social & Community Events	Nee Soon Central CC	From $0.00 to $30.00
Piano Grade 1-8 (Multi Fee)	Workshops & Classes	Nee Soon Central CC	From $225.00 to $235.00
Piloxing ® (HealthierSG)	Fitness & Wellness	Nee Soon Central CC	From $100.00 to $108.00
Recreational Folk Dance (Advanced) (HealthierSG)	Workshops & Classes	Nee Soon Central CC	From $35.00 to $47.00
SCEC DuckTours Outing (Nee Soon Cares 2024)	Social & Community Events	Nee Soon Central CC	$20.00 
Taijiquan (HealthierSG)	Fitness & Wellness	Nee Soon Central CC	From $50.00 to $62.00
Western Flower Arrangement	Workshops & Classes	Nee Soon Central CC	From $47.00 to $50.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Nee Soon Central CC	From $90.00 to $100.00
Nee Soon Central Zone 2 RN - Briskwalk: Chinese Garden	Social & Community Events	Nee Soon Central Zone 2 RN	$3.00 
Nee Soon Central Zone 2 RN Karaoke Booking March 2025	Social & Community Events	Nee Soon Central Zone 2 RN	From $50.00 to $80.00
Recreational Karaoke Pop Singing (Mandarin)	Workshops & Classes	Nee Soon Central Zone 2 RN	$120.00 
Nee Soon Central Zone 4 RN - Outing to Geylang Serai Ramadan Bazaar (Nee Soon Cares 2024)	Social & Community Events	Nee Soon Central Zone 4 RN	$3.00 
Nee Soon Central Zone 4 RN Block Party at Blk 768 Residents' Corner	Social & Community Events	Nee Soon Central Zone 4 RN	$0.00 
Nee Soon Central Zone 4 RN Karaoke (March 2025)	Social & Community Events	Nee Soon Central Zone 4 RN	$85.00 
Nee Soon Central Zone 5 RN- Hari Raya Shopping Tour (Nee Soon Cares 2024)	Social & Community Events	Nee Soon Central Zone 5 RN	$5.00 
Nee Soon Central Zone 6 RN - Dance Fit (January 2025 - January 2026)	Social & Community Events	Nee Soon Central Zone 6 RN	$24.00 
Nee Soon Central Zone 6 RN Karaoke Booking for April 2025	Social & Community Events	Nee Soon Central Zone 6 RN	From $50.00 to $70.00
Nee Soon Central Zone 6 RN Karaoke Booking for March 2025	Social & Community Events	Nee Soon Central Zone 6 RN	From $50.00 to $70.00
Ballroom Latin (Children) - Elementary	Workshops & Classes	Nee Soon Central Zone 8 RN	From $75.00 to $85.00
Ballroom Latin (Children) - Intermediate	Workshops & Classes	Nee Soon Central Zone 8 RN	From $85.00 to $95.00
Aikido (HealthierSG) (Nee Soon East)	Fitness & Wellness	Nee Soon East CC	From $100.00 to $110.00
Children's Art (Nee Soon East)	Workshops & Classes	Nee Soon East CC	From $83.00 to $93.00
Chinese Calligraphy	Workshops & Classes	Nee Soon East CC	From $158.00 to $168.00
CSN Community Workout @ Nee Soon East - 22 March 2025 (Nee Soon Cares 2024)	Social & Community Events	Nee Soon East CC	$0.00 
Digital Club @Nee Soon East - Topic : Find and Evaluate Online Information - 23 March 2025	Social & Community Events	Nee Soon East CC	$0.00 
Fun with Art	Workshops & Classes	Nee Soon East CC	From $120.00 to $130.00
Hand Bouquet	Workshops & Classes	Nee Soon East CC	From $39.00 to $45.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $65.00 to $75.00
Hatha Yoga (Intermediate) (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $75.00 to $85.00
Let's Build A Playground Together - 22 Mar 25 (No registration required)	Social & Community Events	Nee Soon East CC	$0.00 
Let's Kayak and Clean Up Seletar Island Together - 3 May 2025 (Nee Soon Cares 2024)	Social & Community Events	Nee Soon East CC	$10.00 
Let's Kayak and Clean Up Seletar Island Together - 5 Apr 2025 (Nee Soon Cares 2024)	Social & Community Events	Nee Soon East CC	$10.00 
MEGADANZ® (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $100.00 to $110.00
Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon East CC]	Social & Community Events	Nee Soon East CC	From $0.00 to $30.00
NSE YN - Perfume Making Workshop 15 March 2025	Workshops & Classes	Nee Soon East CC	$20.00 
Pilates - Matwork for Beginners (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $90.00 to $100.00
Recreational Karaoke Singing and Vocal Training	Workshops & Classes	Nee Soon East CC	From $130.00 to $135.00
SCEC Siew Mai Cooking Demo (Nee Soon Cares 24) - 23 March 2025	Social & Community Events	Nee Soon East CC	$2.00 
SkillsFuture@PA Breadmaking (Elementary)	Food & Beverage	Nee Soon East CC	From $98.00 to $108.00
SkillsFuture@PA Pastry Baking	Food & Beverage	Nee Soon East CC	From $90.00 to $100.00
SkillsFuture@PA Unisex Hair Cutting Course Module 1	Fitness & Wellness	Nee Soon East CC	From $220.00 to $230.00
SkillsFuture@PA Unisex Hair Cutting Course Module 2	Fitness & Wellness	Nee Soon East CC	From $230.00 to $240.00
Taijiquan (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $50.00 to $60.00
WEC - NWCDC Dance-Fit Club (HealthierSG) Apr 24 to Mar 25	Social & Community Events	Nee Soon East CC	From $12.00 to $24.00
WEC - NWCDC Dance-Fit Club (HealthierSG) Apr 25 to Mar 26	Social & Community Events	Nee Soon East CC	From $12.00 to $24.00
Zumba® Fitness (HealthierSG)	Fitness & Wellness	Nee Soon East CC	From $90.00 to $100.00
Bazaar Ramadan @ Singapore EXPO	Social & Community Events	Nee Soon Link CC	$3.00 
Community Learning Journey to Singapore Discovery Centre [Nee Soon Link CC]	Social & Community Events	Nee Soon Link CC	$5.00 
Mobile TCM @ NSL - 21 March 2025	Social & Community Events	Nee Soon Link CC	$0.00 
Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon Link CC]	Social & Community Events	Nee Soon Link CC	From $0.00 to $30.00
Nee Soon Link Break of Fast	Social & Community Events	Nee Soon Link CC	$3.00 
Nee Soon Link WEC Mammogram Screening @ 23 March 2025 (Nee Soon Cares 2024)	Social & Community Events	Nee Soon Link CC	$0.00 
Aikido (HealthierSG) (Nee Soon South)	Fitness & Wellness	Nee Soon South CC	From $100.00 to $110.00
Children's Art (Nee Soon South)	Workshops & Classes	Nee Soon South CC	From $80.00 to $90.00
Coffee Appreciation – Fun with Specialty Coffee	Food & Beverage	Nee Soon South CC	From $35.00 to $45.00
Community Learning Journey to Singapore Discovery Centre [Nee Soon South]	Social & Community Events	Nee Soon South CC	$5.00 
Crochet & Knitting (Stage I)	Workshops & Classes	Nee Soon South CC	From $65.00 to $70.00
Hatha Yoga (Elementary) (HealthierSG)	Fitness & Wellness	Nee Soon South CC	From $95.00 to $105.00
KpopX® Fitness (HealthierSG)	Fitness & Wellness	Nee Soon South CC	From $108.00 to $118.00
Line Dance (Adult) - Elementary (HealthierSG)	Workshops & Classes	Nee Soon South CC	From $65.00 to $75.00
MEGADANZ® (HealthierSG)	Fitness & Wellness	Nee Soon South CC	From $100.00 to $110.00
Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Nee Soon South CC]	Social & Community Events	Nee Soon South CC	From $0.00 to $30.00
Nee Soon South CC - Reading Club Membership	Social & Community Events	Nee Soon South CC	$18.00 
Nee Soon South CSN Inter Schools Netball	Social & Community Events	Nee Soon South CC	$0.00 
NSS for Arts Everywhere @ CDC	Social & Community Events	Nee Soon South CC	$0.00 
NSSCC WEC - 基础护肤和彩妆示范讲座 (华语讲解) Facial and Make up Talk in Mandarin (Nee Soon Cares 2024)	Social & Community Events	Nee Soon South CC	$0.00 
Pilates - Matwork for Beginners (HealthierSG)	Fitness & Wellness	Nee Soon South CC	From $90.00 to $100.00
Power Fit Kids- Artistic Gymnastics! (Age 5 - 12)	Fitness & Wellness	Nee Soon South CC	From $85.00 to $95.00
Silat (HealthierSG)	Fitness & Wellness	Nee Soon South CC	From $25.00 to $35.00
Yok! Jalan Jalan Ke Bazaar Ramadan Geylang Serai	Social & Community Events	Nee Soon South CC	$3.00 
Nee Soon South Springleaf Dance Fit Club 2025	Social & Community Events	Nee Soon South Springleaf RN	$24.00 
Nee Soon South Springleaf RN Qigong Class on Saturday (Term 10)	Workshops & Classes	Nee Soon South Springleaf RN	$25.00 
