Name,Location,Type,Time,Price
Line Dance (Adult) - Intermediate (HealthierSG),Fengshan CC,Workshops & Classes,5:30 PM - 9:00 PM,$5.00
Line Dance (Adult) - Intermediate (HealthierSG),Fernvale CC,Workshops & Classes,3:30 PM - 5:00 PM,From $60.00 to $70.00
Zumba® Fitness (HealthierSG),Fernvale CC,Workshops & Classes,8:00 PM - 9:00 PM,From $50.00 to $55.00
Zumba® Fitness (HealthierSG),Fernvale CC,Workshops & Classes,1:00 PM - 2:00 PM,From $50.00 to $55.00
Zumba® Fitness (HealthierSG),Fernvale CC,Workshops & Classes,10:00 AM - 11:00 AM,From $50.00 to $55.00
Zumba® Fitness (HealthierSG),Fernvale CC,Workshops & Classes,10:15 AM - 11:15 AM,From $50.00 to $55.00
K! FIT (HealthierSG),Kebun Baru CC,Workshops & Classes,6:45 PM - 7:45 PM,From $115.00 to $125.00
Line Dance (Adult) - Elementary (HealthierSG),Kebun Baru CC,Workshops & Classes,10:00 AM - 11:15 AM,From $60.00 to $70.00
Ballet (Children) - Grade 5,Kebun Baru CC,Workshops & Classes,11:00 AM - 12:15 PM,From $170.00 to $180.00
Line Dance (Adult) - Intermediate (HealthierSG),Kebun Baru CC,Workshops & Classes,10:30 AM - 12:00 PM,From $60.00 to $70.00
Line Dance (Adult) - Elementary (HealthierSG),Kebun Baru CC,Workshops & Classes,12:30 PM - 2:00 PM,From $60.00 to $70.00
Chinese Cultural Dance (Classical Dance) (HealthierSG),Keat Hong CC,Workshops & Classes,2:00 PM - 3:00 PM,From $180.00 to $190.00
Ballet (Children) - Grade 2,Keat Hong CC,Workshops & Classes,4:00 PM - 5:00 PM,From $242.00 to $247.00
Boogie Bounce Xtreme - Trampoline Fitness (HealthierSG),Keat Hong CC,Workshops & Classes,8:00 PM - 9:00 PM,From $144.00 to $154.00
Recreational Folk Dance (Elementary) (HealthierSG),Keat Hong CC,Workshops & Classes,10:00 AM - 12:00 PM,From $35.00 to $40.00
Chinese Cultural Dance (Classical Dance) (HealthierSG),Keat Hong CC,Workshops & Classes,11:30 AM - 1:00 PM,From $140.00 to $150.00
Social Dance (Adult) - Intermediate (HealthierSG),Keat Hong CC,Workshops & Classes,8:00 PM - 9:30 PM,From $65.00 to $70.00
Ballet (Children) - Pre-Primary,Keat Hong CC,Workshops & Classes,3:15 PM - 4:00 PM,From $165.00 to $170.00
Ballet (Children) - Grade 4,Keat Hong CC,Workshops & Classes,5:00 PM - 6:00 PM,From $264.00 to $269.00
Ballet (Children) - Grade 5,Keat Hong CC,Workshops & Classes,6:00 PM - 7:00 PM,From $264.00 to $269.00
Ballet (Children) - Grade 8,Keat Hong CC,Workshops & Classes,7:00 PM - 8:30 PM,From $330.00 to $335.00
Recreational Folk Dance (Elementary) (HealthierSG),Keat Hong CC,Workshops & Classes,9:30 AM - 11:30 AM,From $35.00 to $40.00
Zumba® Fitness (HealthierSG),Keat Hong CC,Workshops & Classes,7:00 PM - 8:00 PM,From $90.00 to $95.00
Zumba® Fitness (HealthierSG),Keat Hong CC,Workshops & Classes,10:15 AM - 11:15 AM,From $90.00 to $95.00
Recreational Folk Dance (Advanced) (HealthierSG),Keat Hong CC,Workshops & Classes,7:45 PM - 9:45 PM,From $35.00 to $40.00
Chinese Cultural Dance (Classical Dance) (HealthierSG),Keat Hong CC,Workshops & Classes,11:30 AM - 1:00 PM,From $140.00 to $150.00
Indian Classical Dance (Children) - Intermediate,Keat Hong CC,Workshops & Classes,4:00 PM - 5:00 PM,From $176.00 to $192.00
Ballet (Children) - Pre-Primary,Katong CC,Workshops & Classes,10:45 AM - 11:30 AM,From $130.00 to $145.00
Ballet (Children) - Grade 2,Katong CC,Workshops & Classes,11:30 AM - 12:30 PM,From $170.00 to $185.00
Ballet (Children) - Grade 5,Katong CC,Workshops & Classes,12:30 PM - 1:45 PM,From $240.00 to $255.00
Ballroom Modern (Adult) - Intermediate (HealthierSG),Macpherson CC,Workshops & Classes,7:00 PM - 9:00 PM,From $80.00 to $90.00
Aerobics (HealthierSG),Macpherson CC,Workshops & Classes,7:15 PM - 8:15 PM,From $55.00 to $60.00
KpopX® Fitness (HealthierSG),Macpherson CC,Workshops & Classes,8:15 PM - 9:00 PM,From $100.00 to $110.00
Zumba® Fitness (HealthierSG),Macpherson CC,Workshops & Classes,7:30 PM - 8:15 PM,From $50.00 to $60.00
MEGADANZ® (HealthierSG),Nee Soon East CC,Workshops & Classes,9:30 AM - 10:30 AM,From $100.00 to $110.00
MEGADANZ® (HealthierSG),Nee Soon East CC,Workshops & Classes,2:15 PM - 3:15 PM,From $100.00 to $110.00
MEGADANZ® (HealthierSG),Nee Soon East CC,Workshops & Classes,7:15 PM - 8:15 PM,From $100.00 to $110.00
Zumba® Fitness (HealthierSG),Nee Soon East CC,Workshops & Classes,7:30 PM - 8:30 PM,From $90.00 to $100.00
Ballet (Children) - Pre-Primary,Nee Soon Link CC,Workshops & Classes,11:15 AM - 12:00 PM,From $155.00 to $165.00
Ballet (Children) - Pre-Primary,One Punggol CC,Workshops & Classes,10:00 AM - 10:45 AM,From $100.00 to $110.00
Ballet (Children) - Primary,One Punggol CC,Workshops & Classes,10:45 AM - 11:30 AM,From $110.00 to $120.00
Ballet (Children) - Grade 1,One Punggol CC,Workshops & Classes,11:30 AM - 12:30 PM,From $120.00 to $130.00
Ballet (Children) - Grade 2,One Punggol CC,Workshops & Classes,12:30 PM - 1:30 PM,From $130.00 to $140.00
Recreational Folk Dance (Elementary) (HealthierSG),One Punggol CC,Workshops & Classes,10:30 AM - 12:30 PM,From $40.00 to $50.00
Recreational Folk Dance (Elementary) (HealthierSG),One Punggol CC,Workshops & Classes,1:30 PM - 3:15 PM,From $50.00 to $60.00
Piloxing ® (HealthierSG),One Punggol CC,Workshops & Classes,7:30 PM - 8:30 PM,From $110.00 to $120.00
PILOXING® Barre (HealthierSG),One Punggol CC,Workshops & Classes,8:30 PM - 9:30 PM,From $110.00 to $120.00
Boogie Bounce Xtreme - Trampoline Fitness (HealthierSG),One Punggol CC,Workshops & Classes,10:00 AM - 11:00 AM,From $72.00 to $82.00
Ballet (Children) - Primary,One Punggol CC,Workshops & Classes,11:15 AM - 12:00 PM,From $110.00 to $115.00
Ballet (Children) - Grade 1,One Punggol CC,Workshops & Classes,12:15 PM - 1:15 PM,From $125.00 to $130.00
Line Dance (Adult) - Elementary (HealthierSG),Nee Soon South CC,Workshops & Classes,7:30 PM - 9:00 PM,From $65.00 to $75.00
MEGADANZ® (HealthierSG),Nee Soon South CC,Workshops & Classes,7:30 PM - 8:30 PM,From $100.00 to $110.00
KpopX® Fitness (HealthierSG),Nee Soon South CC,Workshops & Classes,7:00 PM - 8:00 PM,From $108.00 to $118.00
KpopX® Fitness (HealthierSG),Nee Soon South CC,Workshops & Classes,11:15 AM - 12:15 PM,From $108.00 to $118.00
Line Dance (Adult) - Elementary (HealthierSG),Nee Soon South CC,Workshops & Classes,12:30 PM - 2:00 PM,From $65.00 to $75.00
Ballet (Majors) - Advanced Foundation,Nee Soon South CC,Workshops & Classes,2:00 PM - 3:30 PM,From $275.00 to $285.00
Ballet (Majors) - Advanced 1,Nee Soon South CC,Workshops & Classes,3:30 PM - 5:00 PM,From $285.00 to $295.00
Line Dance (Adult) - Advanced (HealthierSG),Pek Kio CC,Workshops & Classes,7:30 PM - 9:30 PM,From $80.00 to $100.00
Ballet (Children) - Grade 1,Pek Kio CC,Workshops & Classes,5:15 PM - 6:15 PM,From $72.00 to $87.00
